date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:20:55	130728/130728	---M--	200	added ('OK')	application/pdf	date:Sat,%2021%20Dec%202024%2009:20:54%20GMT	https://investors.scholarrock.vercel.app/static-files/07cc5e30-ea10-49a0-8916-6ce8f6d9347f	C:/Users/HP/Documents/programming/clones/scholarrock-investor/investors.scholarrock.vercel.app/static-files/0000950170-24-131539.pdf;%20filename_=UTF-8''0000950170-24-131539.pdf	(from https://investors.scholarrock.vercel.app/investors-media/financials-filings/sec-filings)
01:20:55	34663/34663	---M--	200	added ('OK')	application/rtf	date:Sat,%2021%20Dec%202024%2009:20:55%20GMT	https://investors.scholarrock.vercel.app/static-files/a873a328-0545-4ad6-a9eb-90adab745693	C:/Users/HP/Documents/programming/clones/scholarrock-investor/investors.scholarrock.vercel.app/static-files/0000950170-24-131539.rtf;%20filename_=UTF-8''0000950170-24-131539.rtf	(from https://investors.scholarrock.vercel.app/investors-media/financials-filings/sec-filings)
01:20:56	11776/11776	---M--	200	added ('OK')	application/vnd.ms-excel	date:Sat,%2021%20Dec%202024%2009:20:56%20GMT	https://investors.scholarrock.vercel.app/static-files/c6f7854d-810d-4de4-bd1f-e4168e535039	C:/Users/HP/Documents/programming/clones/scholarrock-investor/investors.scholarrock.vercel.app/static-files/0000950170-24-131539.xls;%20filename_=UTF-8''0000950170-24-131539.xls	(from https://investors.scholarrock.vercel.app/investors-media/financials-filings/sec-filings)
01:20:56	69721/69721	---M-Z	200	added ('OK')	text/html	etag:%221734772856%22	https://investors.scholarrock.vercel.app/sec-filings/sec-filing/4/0001104659-24-123157	C:/Users/HP/Documents/programming/clones/scholarrock-investor/investors.scholarrock.vercel.app/sec-filings/sec-filing/4/0001104659-24-123157.html	(from https://investors.scholarrock.vercel.app/investors-media/financials-filings/sec-filings)
01:20:57	29678/29678	---M-Z	200	added ('OK')	text/html	etag:%221734772857%22	https://investors.scholarrock.vercel.app/node/10641/html	C:/Users/HP/Documents/programming/clones/scholarrock-investor/investors.scholarrock.vercel.app/node/10641/html.html	(from https://investors.scholarrock.vercel.app/investors-media/financials-filings/sec-filings)
01:20:58	124514/124514	---M--	200	added ('OK')	application/pdf	date:Sat,%2021%20Dec%202024%2009:20:58%20GMT	https://investors.scholarrock.vercel.app/static-files/36309aee-56e4-4e70-9984-cbfb158f2b81	C:/Users/HP/Documents/programming/clones/scholarrock-investor/investors.scholarrock.vercel.app/static-files/0001104659-24-123157.pdf;%20filename_=UTF-8''0001104659-24-123157.pdf	(from https://investors.scholarrock.vercel.app/investors-media/financials-filings/sec-filings)
01:20:59	28289/28289	---M--	200	added ('OK')	application/rtf	date:Sat,%2021%20Dec%202024%2009:20:59%20GMT	https://investors.scholarrock.vercel.app/static-files/7fb38452-66dd-49b9-8b34-d7b9da17e95c	C:/Users/HP/Documents/programming/clones/scholarrock-investor/investors.scholarrock.vercel.app/static-files/0001104659-24-123157.rtf;%20filename_=UTF-8''0001104659-24-123157.rtf	(from https://investors.scholarrock.vercel.app/investors-media/financials-filings/sec-filings)
01:20:59	13312/13312	---M--	200	added ('OK')	application/vnd.ms-excel	date:Sat,%2021%20Dec%202024%2009:20:59%20GMT	https://investors.scholarrock.vercel.app/static-files/ec55a48c-2a84-47e5-aab3-4cfffdb42105	C:/Users/HP/Documents/programming/clones/scholarrock-investor/investors.scholarrock.vercel.app/static-files/0001104659-24-123157.xls;%20filename_=UTF-8''0001104659-24-123157.xls	(from https://investors.scholarrock.vercel.app/investors-media/financials-filings/sec-filings)
01:21:00	69069/69069	---M-Z	200	added ('OK')	text/html	etag:%221734772860%22	https://investors.scholarrock.vercel.app/sec-filings/sec-filing/sc-13ga/0000080255-24-001437	C:/Users/HP/Documents/programming/clones/scholarrock-investor/investors.scholarrock.vercel.app/sec-filings/sec-filing/sc-13ga/0000080255-24-001437.html	(from https://investors.scholarrock.vercel.app/investors-media/financials-filings/sec-filings)
01:21:01	9475/9475	---M-Z	200	added ('OK')	text/html	etag:%221734772861%22	https://investors.scholarrock.vercel.app/node/10621/html	C:/Users/HP/Documents/programming/clones/scholarrock-investor/investors.scholarrock.vercel.app/node/10621/html.html	(from https://investors.scholarrock.vercel.app/investors-media/financials-filings/sec-filings)
